gene,axis,direction,gene_class,therapeutic_sign,s1_direction,s2_effect,s3_significance,s4_bidir,s5_crosspop,s6_fdr,z_vs_null,disease_shift_mean,healthy_shift_mean,s1_direction_norm,s2_effect_norm,s3_significance_norm,s4_bidir_norm,s5_crosspop_norm,s6_fdr_norm,composite_score,tier
TARDBP,TDP-43 pathway,knockdown,Disease model KD,-1,0.0,0.0252192945,0.17753756576959462,0,0,0,0.03345892291964379,5.632639e-07,-1.62524e-05,0.4082652323840005,0.09454440757366127,0.11941213365657764,0.0,0.0,0.0,0.1652708779612479,Tier 3 — Mechanism validator
STMN2,TDP-43 pathway,knockup_restore,Rescue candidate,1,6.713301e-05,0.133884755,0.8663257473823252,1,1,0,0.5006426031277736,7.254839e-05,-0.00014352918,1.0,1.0,0.8970059651595639,1.0,1.0,0.0,0.9294011930319128,Tier 1 — Strong rescue
UNC13A,TDP-43 pathway,knockup_restore,Rescue candidate,1,-4.6318173999999995e-05,0.1024257315,0.8212959038212049,0,0,0,0.345096620637726,-2.5376678e-05,-3.998339e-05,0.0,0.7378675005905247,0.846170411470638,0.0,0.0,0.0,0.3168075824122326,Tier 4 — Ambiguous / weak
POU3F1,TDP-43 pathway,knockup_restore,Rescue candidate,1,-5.479156499999999e-06,0.0695903315,0.40053926778133053,0,0,0,0.1029483115876487,-1.9393563e-05,-7.9244375e-05,0.35996995412582034,0.4642663358528499,0.37116550650479135,0.0,0.0,0.0,0.27507735470927436,Tier 4 — Ambiguous / weak
DCTN1,Axonal transport,knockup_restore,Rescue candidate,1,-1.64541605e-05,0.042683713,0.2009752327570743,0,0,0,0.12192749015241494,-1.6319156e-05,-6.012857e-05,0.2632322770646448,0.24006677803560775,0.14587162550153546,0.0,0.0,0.0,0.1561573638268221,Tier 4 — Ambiguous / weak
DYNC1H1,Axonal transport,knockup_restore,Rescue candidate,1,-3.86816275e-05,0.0881746165,0.7942364813750296,0,0,0,0.28802986965481253,-6.125212e-05,-0.000106084946,0.06731129839949487,0.619120000550612,0.815622210238565,0.0,0.0,0.0,0.30714183167768383,Tier 4 — Ambiguous / weak
SARM1,Axon degeneration,knockdown,Therapeutic KD,1,1.53023013e-05,0.12143145999999999,0.9575572761067527,1,0,0,0.16963825768839608,3.8141014e-05,-5.2772164e-05,0.5431452817627712,0.8962328457450841,1.0,1.0,0.0,0.0,0.6921901536778482,Tier 1 — Strong rescue
NEK1,DNA repair / NCT,knockdown,Therapeutic KD,1,-4.231333e-06,0.0677068125,0.333233948853377,1,0,0,0.2438000445503842,2.8531551e-05,-0.00013494492,0.37096872431053696,0.4485719026434009,0.29518249427717486,1.0,0.0,0.0,0.4100414966772763,Tier 2 — Consistent rescue
TBK1,Selective autophagy,knockdown,Therapeutic KD,1,-2.05695622e-05,0.0651301325,0.5730582367323972,1,0,0,0.19041692158376317,5.0497056e-06,-3.07554e-05,0.22695762963566776,0.4271017013010608,0.5659273936200815,1.0,0.0,0.0,0.41669310787492875,Tier 2 — Consistent rescue
OPTN,Selective autophagy,knockdown,Therapeutic KD,1,-2.137125000000002e-06,0.12107451,0.9084854628618296,1,0,0,0.26633589228485527,3.3641456e-05,-4.7733785e-05,0.3894278353234286,0.8932585577585479,0.9446013443631167,1.0,0.0,0.0,0.6344003310213615,Tier 2 — Consistent rescue
ACTB,Control,knockdown,Negative control,0,0.0,0.013872839,0.07176297874022902,0,0,0,0.016657824296293682,-9.590387e-07,7.2693824e-06,0.4082652323840005,0.0,0.0,0.0,0.0,0.0,0.12247956971520013,Control
