gene,knockdown_fraction,mean_cosine_shift,se_cosine_shift,population
STMN2,0.0,0.0,0.0,VAT1L_sALS
STMN2,0.25,2.452611988701392e-05,2.9222620312607747e-05,VAT1L_sALS
STMN2,0.5,3.8208960177144036e-05,4.9983186535924876e-05,VAT1L_sALS
STMN2,0.75,5.318999319570139e-05,6.237154060445292e-05,VAT1L_sALS
STMN2,1.0,7.815957360435277e-05,6.823980601966787e-05,VAT1L_sALS
SARM1,0.0,0.0,0.0,VAT1L_sALS
SARM1,0.25,-1.6736984207454952e-06,1.0346303244022448e-05,VAT1L_sALS
SARM1,0.5,1.7925500287674367e-05,2.8998626687975364e-05,VAT1L_sALS
SARM1,0.75,3.934144842787646e-05,3.109453101859704e-05,VAT1L_sALS
SARM1,1.0,3.706097777467221e-05,3.0995615575546446e-05,VAT1L_sALS
OPTN,0.0,0.0,0.0,VAT1L_sALS
OPTN,0.25,-1.3984441466163844e-05,1.2140289613153098e-05,VAT1L_sALS
OPTN,0.5,-6.064176432118984e-06,1.5786837827447872e-05,VAT1L_sALS
OPTN,0.75,-1.5437602769452496e-06,2.6375477218601608e-05,VAT1L_sALS
OPTN,1.0,3.6311148505774327e-06,2.6068932981942004e-05,VAT1L_sALS
