gene,population,on_axis_shift,off_axis_magnitude,total_shift,angle_to_therapeutic_axis,specificity
TARDBP,VAT1L_sALS,0.00043988228,0.002866839,0.0015949629,73.990616,0.13302672
STMN2,VAT1L_sALS,0.0092276335,0.034809623,0.026327169,69.482185,0.20954151
UNC13A,VAT1L_sALS,0.0013282001,0.011264606,0.0058531146,76.88407,0.10547292
POU3F1,VAT1L_sALS,0.0029216707,0.011148385,0.0066637136,63.995304,0.20765167
DCTN1,VAT1L_sALS,0.0015510321,0.010786369,0.0060664164,75.1864,0.1257179
DYNC1H1,VAT1L_sALS,-0.0025356412,0.015158733,0.008325608,107.73164,-0.14330211
SARM1,VAT1L_sALS,-0.00025188923,0.007681133,0.004394528,93.28593,-0.031751987
NEK1,VAT1L_sALS,-0.003276676,0.017550487,0.0150679955,102.559845,-0.15732704
TBK1,VAT1L_sALS,-0.00047668815,0.009407318,0.006304819,94.3361,-0.04822823
OPTN,VAT1L_sALS,-0.0012297332,0.0099416785,0.0072263083,99.79796,-0.11007859
ACTB,VAT1L_sALS,-0.002377361,0.011816893,0.0073241238,108.940926,-0.16748756
TARDBP,SCN4B_sALS,-0.0013410151,0.006748081,0.0039871633,109.65362,-0.16578059
STMN2,SCN4B_sALS,0.007998526,0.036372732,0.021578202,68.24267,0.18026367
UNC13A,SCN4B_sALS,0.0008433163,0.015075873,0.0044960557,79.18911,0.052974828
POU3F1,SCN4B_sALS,-0.00023761392,0.0034770297,0.0011456652,101.97018,-0.06396681
DCTN1,SCN4B_sALS,0.00015297532,0.013327759,0.009160235,89.04311,0.0113477
DYNC1H1,SCN4B_sALS,0.000541836,0.012688506,0.0047991527,83.51734,0.040954042
SARM1,SCN4B_sALS,-0.0013441741,0.005898946,0.0025291306,122.10528,-0.18557943
NEK1,SCN4B_sALS,-0.004393369,0.023817614,0.012224071,111.06354,-0.15573257
TBK1,SCN4B_sALS,-0.003172487,0.012409264,0.0049652336,129.71283,-0.20360273
OPTN,SCN4B_sALS,-0.002498895,0.014718893,0.0059994524,114.615105,-0.14513448
ACTB,SCN4B_sALS,-0.0025457442,0.016038006,0.008690012,107.03468,-0.13698764
