rank,gene,axis,direction,gene_class,therapeutic_sign,s1_direction,s2_effect,s3_significance,s4_bidir,s5_crosspop,s6_fdr,z_vs_null,disease_shift_mean,healthy_shift_mean,s1_direction_norm,s2_effect_norm,s3_significance_norm,s4_bidir_norm,s5_crosspop_norm,s6_fdr_norm,composite_score,tier
1,STMN2,TDP-43 pathway,knockup_restore,Rescue candidate,1,6.713301e-05,0.133884755,0.8663257473823252,1,1,0,0.5006426031277736,7.254839e-05,-0.00014352918,1.0,1.0,0.8970059651595639,1.0,1.0,0.0,0.9294011930319128,Tier 1 — Strong rescue
2,SARM1,Axon degeneration,knockdown,Disease driver KD,1,1.53023013e-05,0.12143145999999999,0.9575572761067527,1,0,0,0.16963825768839608,3.8141014e-05,-5.2772164e-05,0.5431452817627712,0.8962328457450841,1.0,1.0,0.0,0.0,0.6921901536778482,Tier 1 — Strong rescue
3,OPTN,Selective autophagy,knockdown,Disease driver KD,1,-2.137125000000002e-06,0.12107451,0.9084854628618296,1,0,0,0.26633589228485527,3.3641456e-05,-4.7733785e-05,0.3894278353234286,0.8932585577585479,0.9446013443631167,1.0,0.0,0.0,0.6344003310213615,Tier 2 — Consistent rescue
4,DYNC1H1,Axonal transport,knockdown,Mechanism validator,-1,0.0,0.08943883999999999,0.5703547774855355,0,1,0,0.33767597120584814,-3.344655e-05,-0.00011337817,0.4082652323840005,0.6296541503428709,0.5628753766282144,0.0,1.0,0.0,0.46098547510941723,Tier 3 — Mechanism validator
5,TARDBP,TDP-43 pathway,knockdown,Disease driver KD,1,4.61548545e-06,0.0252192945,0.17753756576959462,1,1,0,0.03345892291964379,5.632639e-07,-1.62524e-05,0.4489477998748783,0.09454440757366127,0.11941213365657764,1.0,1.0,0.0,0.42747564820851125,Tier 2 — Consistent rescue
6,TBK1,Selective autophagy,knockdown,Disease driver KD,1,-2.05695622e-05,0.0651301325,0.5730582367323972,1,0,0,0.19041692158376317,5.0497056e-06,-3.07554e-05,0.22695762963566776,0.4271017013010608,0.5659273936200815,1.0,0.0,0.0,0.41669310787492875,Tier 2 — Consistent rescue
7,NEK1,DNA repair / NCT,knockdown,Disease driver KD,1,-4.231333e-06,0.0677068125,0.333233948853377,1,0,0,0.2438000445503842,2.8531551e-05,-0.00013494492,0.37096872431053696,0.4485719026434009,0.29518249427717486,1.0,0.0,0.0,0.4100414966772763,Tier 4 — Ambiguous / weak
8,DCTN1,Axonal transport,knockdown,Mechanism validator,-1,0.0,0.04083536555,0.3729349072559854,0,1,0,0.1187049103329704,-2.9921532e-07,-1.9544363e-05,0.4082652323840005,0.22466541197459097,0.3400021081769705,0.0,1.0,0.0,0.33541307374551244,Tier 3 — Mechanism validator
9,UNC13A,TDP-43 pathway,knockup_restore,Rescue candidate,1,-4.6318173999999995e-05,0.1024257315,0.8212959038212049,0,0,0,0.345096620637726,-2.5376678e-05,-3.998339e-05,0.0,0.7378675005905247,0.846170411470638,0.0,0.0,0.0,0.3168075824122326,Tier 4 — Ambiguous / weak
10,POU3F1,TDP-43 pathway,knockdown,Ambiguous,1,-5.479156499999999e-06,0.0695903315,0.40053926778133053,0,0,0,0.1029483115876487,-1.9393563e-05,-7.9244375e-05,0.35996995412582034,0.4642663358528499,0.37116550650479135,0.0,0.0,0.0,0.27507735470927436,Tier 4 — Ambiguous / weak
